Date,Close/Last,Volume,Open,High,Low
06/19/2020,0.9375,N/A,0.9375,0.9375,0.9375
06/18/2020,0.946,N/A,0.946,0.946,0.946
06/17/2020,0.9625,N/A,0.9625,0.9625,0.9625
06/16/2020,0.9365,N/A,0.9365,0.9365,0.9365
06/15/2020,0.94,N/A,0.94,0.94,0.94
06/12/2020,0.952,N/A,0.952,0.952,0.952
06/11/2020,0.96,N/A,0.96,0.96,0.96
06/10/2020,0.9675,N/A,0.9675,0.9675,0.9675
06/09/2020,0.978,N/A,0.978,0.978,0.978
06/08/2020,0.989,N/A,0.989,0.989,0.989
06/05/2020,0.989,N/A,0.989,0.989,0.989
06/04/2020,0.9815,N/A,0.9815,0.9815,0.9815
06/03/2020,0.991,N/A,0.991,0.991,0.991
06/02/2020,0.982,N/A,0.982,0.982,0.982
06/01/2020,0.983,N/A,0.983,0.983,0.983
05/29/2020,0.963,N/A,0.963,0.963,0.963
05/28/2020,0.991,N/A,0.991,0.991,0.991
05/27/2020,1.025,N/A,1.025,1.025,1.025
05/26/2020,1.051,N/A,1.051,1.051,1.051
05/22/2020,1.036,N/A,1.036,1.036,1.036
05/21/2020,1.0475,N/A,1.0475,1.0475,1.0475
05/20/2020,1.0565,N/A,1.0565,1.0565,1.0565
05/19/2020,1.0705,N/A,1.0705,1.0705,1.0705
05/18/2020,1.0775,N/A,1.0775,1.0775,1.0775
05/15/2020,1.0685,N/A,1.0685,1.0685,1.0685
05/14/2020,1.067,N/A,1.067,1.067,1.067
05/13/2020,1.0505,N/A,1.0505,1.0505,1.0505
05/12/2020,1.0735,N/A,1.0735,1.0735,1.0735
05/11/2020,1.1075,N/A,1.1075,1.1075,1.1075
05/08/2020,1.1165,N/A,1.1165,1.1165,1.1165
05/07/2020,1.09,N/A,1.09,1.09,1.09
05/06/2020,1.106,N/A,1.106,1.106,1.106
05/05/2020,1.1065,N/A,1.1065,1.1065,1.1065
05/04/2020,1.072,N/A,1.072,1.072,1.072
05/01/2020,1.061,N/A,1.061,1.061,1.061
04/30/2020,1.063,N/A,1.063,1.063,1.063
04/29/2020,1.053,N/A,1.053,1.053,1.053
04/28/2020,1.076,N/A,1.076,1.076,1.076
04/27/2020,1.062,N/A,1.062,1.062,1.062
04/24/2020,1.0675,N/A,1.0675,1.0675,1.0675
04/23/2020,1.124,N/A,1.124,1.124,1.124
04/22/2020,1.1205,N/A,1.1205,1.1205,1.1205
04/21/2020,1.0965,N/A,1.0965,1.0965,1.0965
04/20/2020,1.1365,N/A,1.1365,1.1365,1.1365
04/17/2020,1.1605,N/A,1.1605,1.1605,1.1605
04/16/2020,1.186,N/A,1.186,1.186,1.186
